file,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,mean
./experiment/wav/K001/K001_004/K001_004_IC01_cut004.wav,36.566544,0.107457094,34.04902,36.366734,39.583828,5.534809,83.95327,55.83998,25.800812,10.6326,0.40671825,0.43526682,0.2833632,0.33517256,0.5302741,0.2469109,3.4655948,1.6842079,4.342789,2.6161845,0.10041324,0.6781816,23.902096,0.23883893,-9.266348,-0.85317945,-20.188627,-0.5206572,-5.357504,-1.6678333,0.030744977,1.057102,1.1257178,0.6113672,5.174315,0.8428382,3.1808665,2.0221765,26.376604,0.31263238,767.1882,0.26723588,1498.6465,0.17003055,-41.738018,-1.7993654,1675.5569,0.13373324,1161.1963,0.2023961,-38.028748,-1.7720352,2783.2588,0.0923561,1105.8795,0.26515046,-52.60053,-1.1596743,-7.092856,-0.77326643,21.980549,0.27796343,0.07645965,0.17466399,-0.010235251,-1.5823773,0.11217505,0.61356246,24.989983,0.20550168,-7.746607,-0.9822607,-22.197037,-0.46563637,-7.1634173,-1.1092464,-2.1430726,11.653051,0.05289545,0.00056454336,0.056588743,2.222222,0.7692308,1.1,0.0,0.085,0.035,-33.73893,5.153846153846154
./experiment/wav/K001/K001_004/K001_004_IC01_cut063.wav,37.98113,0.08282407,34.947758,38.382656,41.47641,6.528652,93.97387,77.25466,19.568733,17.214104,0.38944334,0.52764386,0.1669651,0.3654096,0.61770153,0.45073643,3.6063817,0.96926415,3.887817,1.5678668,0.10597725,0.64355433,18.640993,0.5136014,-4.763187,-1.4801757,-7.9901204,-1.4538441,-19.998747,-0.72134787,0.02383135,1.677797,0.898561,0.720988,6.5553465,0.59089166,3.2601447,1.7505684,22.604002,0.33757898,817.24396,0.21001805,1462.1915,0.42485458,-79.97135,-1.1410398,1835.2883,0.13427407,1061.0184,0.36476794,-81.374954,-1.0434501,2838.5562,0.088161334,1018.3733,0.50363433,-84.80612,-0.97181714,-9.871857,-0.57465833,20.025476,0.47512648,0.05992832,0.3047755,-0.021595744,-0.60200536,0.14054364,0.40762445,20.635422,0.4958885,-6.0377545,-1.2132696,-13.029453,-0.80983716,-26.40107,-0.46449655,-5.914035,12.055334,0.043883573,-0.008798985,0.052714616,3.8251367,3.3707867,0.17833334,0.19064946,0.08285714,0.040607627,-33.72016,5.0
./experiment/wav/K001/K001_004/K001_004_IC01_cut079.wav,35.41541,0.10485163,33.4183,35.409325,38.365143,4.946842,106.65889,120.2072,154.93904,187.19894,0.54936725,0.5456353,0.2468377,0.544416,0.76603377,0.51919603,6.8746567,2.5488904,4.163644,3.764257,0.19194,0.8376203,23.490633,0.53685105,-4.4238477,-2.6565835,-1.9642613,-7.571657,-15.344964,-0.9834553,0.026993684,1.2565478,0.9231204,0.7967332,6.880424,0.4557497,4.7975006,1.6539478,22.521318,0.3019463,736.1088,0.26448488,1457.7704,0.112586945,-54.13742,-1.5422899,1763.2906,0.13618538,1202.1943,0.46466827,-53.46638,-1.4010842,2744.5615,0.10482103,916.61053,0.320204,-56.280773,-1.3073334,-10.198149,-0.47044945,20.025671,0.363334,0.06573475,0.27492827,-0.025050325,-0.4581173,0.24544455,0.62778187,28.376259,0.25879037,-7.6831827,-1.4182609,-2.2058558,-7.5130715,-21.033424,-0.6449297,-2.8884995,8.713616,0.027611924,-0.002341255,0.042061,3.8834953,2.0618558,0.37,0.12,0.095,0.044999998,-28.149334,5.384615384615385
./experiment/wav/K001/K001_004/K001_004_IC01_cut092.wav,33.3846,0.109024234,31.920675,32.860874,37.929882,6.009207,792.5973,499.24808,73.48648,50.854084,0.5457748,0.69534,0.14364311,0.42706352,0.9804595,0.83681643,6.755899,4.4670486,1.7335324,4.389254,0.15486676,0.83533263,14.067859,0.897237,-7.1625924,-1.216325,-2.3311732,-5.253604,-10.780631,-1.2042001,0.04807826,1.596908,1.589888,0.6246112,2.992858,1.3638341,1.6257144,3.4189775,14.035792,0.7265139,772.5766,0.20048827,1419.8678,0.12047127,-117.61706,-0.79980385,1725.0261,0.11414566,1061.1069,0.19152556,-118.23853,-0.7681368,2777.0552,0.080724485,1090.7986,0.4664589,-120.24647,-0.73668015,-4.860658,-0.759842,13.962375,0.67082846,0.053218633,0.39962837,-0.019311128,-0.5925073,0.21857794,0.5174518,19.29909,0.6496579,-6.7246017,-1.267963,-6.029893,-2.6530247,-18.206491,-0.478687,-1.8770652,9.660537,0.023818571,-0.0005716341,0.11692974,3.125,3.2520325,0.12,0.052440442,0.1625,0.08104782,-30.84331,4.923076923076923
./experiment/wav/K001/K001_004/K001_004_IC01_cut098.wav,36.381413,0.124652244,31.61073,36.38076,38.810867,7.200138,31.265522,0.0,53.24515,0.0,0.5490291,0.5787887,0.18630157,0.5454686,0.85853964,0.67223805,7.5893693,5.8477283,9.643709,4.7720504,0.2334704,1.0094668,17.091612,0.5916019,-13.71321,-0.650818,-6.386485,-1.3958126,-17.403072,-0.60357696,0.026036965,0.8897047,1.6078156,0.61099106,3.3220317,0.6822095,0.44338188,13.54545,15.974041,0.65072787,872.68066,0.17110017,1447.8364,0.15320203,-118.95489,-0.7823524,1781.689,0.07673579,1118.7816,0.1700399,-117.11945,-0.7625908,2812.17,0.059590936,822.8225,0.18993428,-118.57171,-0.743039,-5.9732723,-0.8281379,15.552476,0.57005954,0.06745772,0.21711956,-0.016529694,-0.67469054,0.2926681,0.76089835,19.618608,0.37993616,-15.750747,-0.4988571,-6.8516407,-1.4238398,-23.256783,-0.35480937,-2.6044252,12.885339,0.039321475,-0.005695195,0.21247225,5.607477,3.9215686,0.099999994,0.042426404,0.106,0.062482,-29.197306,4.769230769230769
./experiment/wav/K001/K001_004/K001_004_IC01_cut099.wav,42.438248,0.12619764,36.2764,43.253113,48.03544,11.759037,172.90247,117.02609,43.563538,18.857779,0.9558183,0.64070207,0.33052844,0.8421805,1.5738235,1.243295,16.385626,6.6941833,12.611754,6.7055254,0.6033609,0.8067951,15.729247,0.5014884,-16.734802,-0.7942905,-2.45467,-5.0533915,-26.918594,-0.5195044,0.031682964,0.575235,1.5954542,0.5639909,5.86024,0.432033,11.200819,0.59447694,20.629608,0.35388944,745.8485,0.22250484,1331.0789,0.23339187,-119.643654,-0.73834974,1736.0192,0.13084908,959.3562,0.3086338,-109.11992,-0.771455,2755.4604,0.07511717,899.2421,0.45918077,-110.59544,-0.74924237,-7.7359176,-0.5800158,15.972025,0.3553071,0.07835643,0.474077,-0.01777667,-0.8064323,0.70411026,0.7340909,15.506358,0.40696436,-17.265184,-0.7119121,-4.5662603,-2.4358728,-31.947174,-0.44097793,-4.345482,15.366248,0.054873083,-0.013630725,0.5539597,7.692308,5.109489,0.087142855,0.035742845,0.07625,0.04240799,-21.17643,4.6923076923076925
./experiment/wav/K001/K001_009/K001_009_IC01_cut005.wav,45.08065,0.1009768,40.555984,43.984695,49.8315,9.2755165,26.91828,6.6208057,40.964752,0.0,0.85748047,0.38620287,0.522643,0.8856611,1.1265398,0.6038968,6.026393,3.5697465,5.3963923,2.9733,0.43635675,0.6170422,21.375526,0.33799902,-8.8740835,-1.1756755,-4.107109,-3.965462,-18.061367,-0.7186023,0.010659383,1.0091412,0.68926525,0.6074246,10.305705,0.2819893,9.684015,0.80428714,22.851925,0.45012784,682.80945,0.2876934,1223.7009,0.1117001,-54.64242,-1.6369692,1688.7345,0.11238703,1178.0167,0.28303415,-48.809566,-1.3475479,2664.6523,0.13432437,917.2089,0.32328033,-53.331814,-1.2045959,-10.261309,-0.61026895,20.764132,0.48703495,-0.009774388,-3.7731457,-0.021429596,-0.6838963,0.49058357,0.55597425,21.636274,0.27643737,-11.351616,-0.7498473,-7.210292,-2.3621447,-21.800419,-0.4696013,-16.15115,23.341597,-0.036991917,-0.011087798,0.27393824,4.0,3.1578948,0.25,0.086023256,0.065,0.015,-21.565989,5.615384615384615
./experiment/wav/K001/K001_009/K001_009_IC01_cut006.wav,39.401268,0.10321183,36.803986,39.32891,41.518795,4.7148094,51.61725,2.942679,38.703007,8.627381,0.53296816,0.5715828,0.24460065,0.5344162,0.7615204,0.51691973,10.033219,4.8862534,6.258547,4.1775336,0.22134519,0.6493635,20.571808,0.53986,-10.887543,-1.2630996,-1.8847716,-5.688622,-18.270737,-0.7553478,0.02777977,1.3231859,1.2338985,0.8663424,7.5521803,0.47768292,4.627008,2.2161176,20.521986,0.45137203,707.2217,0.29065853,1421.316,0.21789528,-81.32918,-1.1596304,1661.3452,0.13781478,1180.6284,0.39474067,-75.459335,-1.1257955,2676.1338,0.08660391,1088.416,0.4028077,-80.48276,-1.0062724,-9.268746,-0.5793884,20.22567,0.35695627,0.018295744,1.4334186,-0.014048263,-0.84910005,0.27969146,0.5210433,22.867374,0.41273636,-16.168175,-0.79249525,-6.158857,-1.6311803,-25.13378,-0.45450243,-10.3675375,19.94695,-0.00653856,-0.0043132547,0.119973734,5.7971015,5.2631583,0.11285714,0.06942916,0.068333335,0.021921577,-29.02258,5.384615384615385
./experiment/wav/K001/K001_009/K001_009_IC01_cut020.wav,36.991405,0.085423835,33.45605,36.289654,40.1193,6.66325,26.515188,11.710736,25.00438,25.236332,0.40605804,0.4921488,0.20938951,0.3964243,0.60563993,0.39625043,5.3288846,1.6329734,4.3337607,1.6871312,0.21275468,0.80263317,21.177122,0.25633395,-1.1246651,-9.92423,3.9384398,3.3466,-15.83702,-0.8883742,0.019354682,1.0251878,1.0151236,0.5037516,5.827751,0.3680375,4.630775,1.234059,19.572496,0.29725644,694.8994,0.20157927,1314.2367,0.15148382,-119.58495,-0.78606105,1666.1342,0.09978851,1122.1316,0.27257404,-118.90631,-0.75771123,2818.8335,0.06570588,861.25226,0.4773144,-123.284256,-0.6909805,-7.8542976,-0.85353744,21.672152,0.22248897,-0.017202977,-1.3058993,-0.0068686134,-1.9648938,0.23280132,0.662271,22.51936,0.21372351,-8.033297,-1.3560033,-6.401216,-1.5949857,-23.557945,-0.2879882,-16.225687,25.632357,-0.031241167,-0.0073835896,0.20202717,5.3254437,4.2944784,0.087142855,0.052837834,0.12571429,0.14974809,-30.191269,5.384615384615385
./experiment/wav/K001/K001_009/K001_009_IC01_cut024.wav,38.462254,0.08881404,34.1157,38.543346,42.604336,8.488636,146.43625,79.92294,33.771366,6.8247643,0.688451,0.64385235,0.29334462,0.5594118,1.0523216,0.75897694,10.262823,6.0573626,7.5945296,3.4597554,0.33594435,0.85427105,17.44866,0.55507267,-5.887882,-2.64655,1.8802083,7.450529,-22.292368,-0.66593385,0.016524978,0.8824083,0.8667429,0.89104867,6.972156,0.41893718,2.7786715,2.821212,21.63368,0.46373144,810.83856,0.22558366,1284.3679,0.12385978,-93.70723,-1.0404521,1897.348,0.1010833,1005.9001,0.20665489,-96.625595,-0.9360142,2828.912,0.09516625,1213.5273,0.5088091,-99.01926,-0.88827056,-10.325309,-0.7605899,19.658827,0.40128306,0.017186504,1.7057239,-0.024901168,-0.6281768,0.29109535,0.6941036,18.168316,0.46182698,-7.111703,-2.4777908,-5.337443,-2.6046224,-29.626217,-0.39803356,-10.012938,19.593052,-0.0050257496,-0.013608488,0.420588,6.557377,3.478261,0.1475,0.13423394,0.12,0.07968688,-26.075586,5.153846153846154
