,,mitubati555,kumiko0402,matosa3,toge7188,fumygo,rag_55,yutapon1967,minshle,yoimachigusa,a0508,Weetabix,ma20020607 ,from201905,とんとん囃�,Ralphy,itu1,mirin036,perimakko37,ISHICN,ranbt2943,adagietto,kamihamuroabu,109960,mikalemon,sr15,daizu810,摩天楼さ�,soshisoyamama,heidi1001,rssk,����N
Q1_2,5,6,6,6,6,6,7,5,6,7,5,6,6,6,6,4,6,7,7,4,6,6,5,6,7,7,6,7,7,2,4,4
Q2_2,5,5,6,5,5,6,6,5,6,7,5,6,6,5,6,5,4,6,6,5,5,5,5,5,5,5,7,4,4,5,3,3
Q3_2,5,6,5,5,5,6,6,5,6,6,5,6,5,5,6,4,5,6,6,5,5,5,5,6,5,6,5,5,6,6,4,4
Q4_2,3,5,5,5,6,6,3,5,2,2,4,6,3,4,4,5,3,3,2,5,6,5,3,4,3,3,4,3,5,3,3,4
Q5_2,5,6,5,5,6,7,6,6,6,7,5,7,5,4,7,3,5,6,5,5,6,5,6,6,5,6,3,6,5,6,4,4
Q6_2,4,6,5,5,6,6,6,5,5,5,6,6,5,5,4,5,5,6,6,5,6,6,4,6,6,7,5,6,6,4,5,4
Q7_2,5,6,5,5,5,6,6,5,3,5,5,7,4,6,7,5,5,6,5,5,5,5,4,5,5,5,6,5,4,4,4,3
Q8_2,4,6,6,5,6,6,6,5,6,5,6,7,5,5,7,6,5,6,5,5,6,6,4,6,6,7,4,5,6,4,4,4
Q9_2,5,5,5,6,7,7,5,6,7,6,6,7,5,6,7,5,6,7,5,5,7,5,5,6,7,6,3,7,7,5,5,4
Q10_2,3,6,6,4,6,6,5,5,5,6,5,7,5,6,7,3,4,6,4,5,6,6,4,6,5,6,7,4,7,5,4,4
Q11_2,5,6,6,5,7,6,7,6,6,7,6,7,6,5,7,6,6,7,6,5,7,5,5,6,6,7,7,7,7,5,5,4
Q12_2,4,4,5,4,6,6,5,6,5,5,6,6,6,5,5,6,4,6,4,5,5,5,3,5,5,4,5,6,5,3,4,4
Q13_2,5,5,6,5,6,6,6,5,5,6,5,7,5,5,7,6,6,7,6,5,6,5,4,6,6,5,3,6,5,6,5,4
Q14_2,4,7,6,5,6,5,5,5,5,7,5,7,6,5,6,3,6,7,4,4,6,6,4,6,5,5,4,6,5,5,3,4
Q15_2,5,5,5,4,5,6,6,5,6,5,5,7,5,5,7,3,6,6,5,4,5,6,5,6,5,5,3,6,4,4,5,4
Q16_2,4,7,7,5,7,6,6,6,6,6,6,7,5,6,6,4,7,6,6,5,6,6,5,6,6,6,7,7,6,5,5,4
Q17_2,4,6,5,5,5,7,6,6,5,4,5,6,6,6,6,6,6,5,5,4,6,4,5,5,7,7,6,6,7,4,1,4
Q18_2,4,5,6,5,7,6,6,7,6,4,6,7,5,6,6,6,7,6,5,5,7,5,5,6,6,7,5,6,6,6,3,3
Q19_2,5,5,5,6,6,7,6,6,6,6,6,7,6,5,7,5,5,6,6,5,7,6,7,6,7,7,6,6,7,7,5,4
Q20_2,5,4,5,4,6,6,5,6,6,6,5,7,5,5,6,3,6,6,5,4,6,6,5,5,6,7,4,5,6,2,4,4
Q21_2,5,3,2,4,5,4,3,4,2,2,6,7,5,5,2,4,5,3,5,5,3,6,3,5,5,6,5,2,3,5,4,3
Q22_2,4,6,3,5,6,6,6,5,5,5,6,7,6,5,7,6,6,7,6,4,5,5,5,6,6,5,5,6,4,5,5,4
Q23_2,4,4,3,5,6,6,6,5,5,5,5,7,6,5,6,4,5,7,6,4,6,6,5,6,5,6,2,6,5,5,4,4
Q24_2,7,5,6,5,6,6,6,6,7,7,6,7,6,5,7,6,6,7,6,4,6,6,5,5,5,7,7,7,6,5,4,5
Q25_2,3,5,5,5,5,5,6,4,4,5,5,5,4,5,4,4,5,6,6,5,5,5,4,5,5,5,2,6,4,6,4,4
Q26_2,4,6,5,3,5,5,3,5,5,6,5,7,5,5,4,5,5,5,3,4,5,5,4,4,5,6,3,3,4,5,3,3
Q27_2,5,5,6,5,5,6,6,5,7,6,5,7,5,5,6,4,5,6,6,5,5,5,5,5,5,5,6,6,5,5,4,4
Q28_2,5,6,5,5,6,6,5,6,6,6,6,7,5,6,6,6,5,6,3,5,6,5,5,5,4,6,7,5,6,6,2,4
Q29_2,3,5,5,5,6,5,5,5,2,6,5,7,4,5,4,6,5,4,6,4,5,4,4,4,5,5,4,3,3,4,5,3
Q30_2,5,5,5,3,5,7,5,5,5,4,5,6,5,4,7,4,5,7,6,4,5,5,6,6,5,5,3,7,6,7,4,3
Q31_2,5,4,5,3,3,7,6,4,3,5,6,5,4,5,6,3,5,3,5,5,5,4,6,6,4,6,3,6,5,5,1,3
Q32_2,4,6,5,4,6,5,5,5,6,4,5,6,5,4,5,2,5,6,5,5,4,4,6,4,5,5,6,3,4,4,3,2
Q33_2,3,4,4,3,4,3,3,4,5,3,4,5,4,4,3,1,4,2,2,4,3,3,3,4,3,6,2,4,1,2,1,1
Q34_2,5,3,5,4,5,6,5,4,5,4,5,7,4,5,2,2,5,6,4,5,4,4,2,5,5,6,2,5,2,5,3,2
Q35_2,4,5,5,4,5,6,4,5,5,6,6,5,6,6,7,6,6,6,6,5,5,5,4,6,5,7,5,3,4,5,3,2
Q36_2,4,4,5,4,5,5,4,5,6,4,6,5,4,5,4,5,5,5,2,4,5,4,6,5,4,7,2,2,2,4,2,2
Q37_2,3,5,4,3,5,5,3,5,3,3,4,3,3,4,5,2,5,5,4,4,5,4,4,5,4,5,2,3,1,5,1,3
Q38_2,4,3,5,3,6,6,5,5,6,4,6,6,5,4,4,2,6,4,5,5,5,3,5,6,5,6,2,3,3,4,1,2
Q39_2,5,5,6,3,5,6,7,5,4,6,5,7,5,5,6,6,6,6,5,5,6,5,7,6,6,7,6,6,4,5,4,3
Q40_2,2,3,2,3,4,4,3,4,3,3,4,5,4,4,4,3,4,3,3,5,5,4,3,4,3,5,2,2,3,3,2,3
Q41_2,3,5,5,4,5,6,5,5,5,6,4,4,5,5,5,3,4,6,4,5,4,5,4,4,4,6,3,4,4,5,1,2
Q42_2,4,6,5,5,6,6,4,5,5,5,5,7,5,5,4,6,6,5,5,5,6,5,5,4,7,7,4,6,5,4,2,3
Q43_2,5,6,6,6,6,6,5,6,6,6,6,6,5,5,7,6,6,7,4,5,6,6,6,6,6,6,7,6,6,5,5,4
Q44_2,4,4,5,5,5,5,4,5,3,6,5,6,4,5,4,5,4,4,4,5,5,5,4,5,4,5,2,4,4,5,2,4
Q45_2,5,5,6,5,7,6,6,6,6,6,6,7,5,6,7,7,6,6,7,4,6,6,5,6,5,7,4,6,7,5,5,4
Q46_2,5,4,6,4,6,6,6,6,6,5,5,7,5,4,7,4,5,5,3,5,6,5,5,5,5,5,6,6,6,5,3,3
Q47_2,5,5,5,5,6,6,6,6,6,7,6,7,6,5,7,4,5,6,5,5,6,6,5,6,7,7,6,6,5,4,3,4
Q48_2,3,4,5,3,5,6,5,5,5,5,5,6,2,5,5,4,3,6,2,5,4,6,3,4,5,7,2,3,3,5,4,4
Q49_2,5,5,6,4,6,6,6,5,6,6,6,7,6,5,7,5,5,6,6,5,7,6,4,6,6,5,3,5,6,4,5,4
Q50_2,4,3,3,5,6,6,5,5,5,5,5,6,5,6,6,4,4,4,5,4,5,5,4,6,6,7,4,3,5,3,1,3
Q51_2,5,4,6,5,5,6,6,6,5,6,5,6,6,5,6,4,3,7,6,5,5,5,5,6,5,5,6,6,6,5,4,5
Q52_2,4,5,5,5,6,6,7,5,6,5,5,7,5,5,4,3,4,6,4,5,5,5,4,5,6,6,7,3,5,5,2,4
Q53_2,4,5,6,5,5,6,6,5,5,5,5,6,4,5,6,4,5,6,4,4,5,5,4,4,5,5,4,3,6,4,5,4
Q54_2,5,6,6,5,6,6,6,6,6,6,6,7,5,5,7,6,6,7,5,5,6,5,5,6,7,7,6,6,7,5,4,4
Q55_2,6,5,6,5,6,6,6,6,6,7,6,7,5,5,6,6,5,7,6,5,6,6,5,6,5,6,4,6,6,4,5,4
Q56_2,5,4,6,6,6,6,6,4,6,6,5,6,5,6,7,6,6,4,5,5,5,4,5,6,5,6,3,6,6,6,5,4
Q57_2,5,4,6,5,6,6,5,6,5,5,6,7,5,5,6,5,5,5,5,5,6,5,3,5,4,6,7,7,5,5,1,4
Q58_2,6,7,6,6,6,7,6,6,6,7,6,7,6,6,7,4,5,7,6,5,7,6,5,6,7,7,7,7,6,4,4,4
Q59_2,5,5,6,6,6,6,6,6,6,6,6,7,5,5,7,6,5,7,6,5,6,6,4,5,5,6,2,6,5,5,2,5
Q60_2,5,6,6,6,6,6,5,5,6,6,6,7,5,6,6,6,6,7,6,5,5,5,4,4,5,5,5,6,5,5,1,3
Q61_2,4,3,4,5,4,6,6,4,6,7,5,6,4,5,6,5,6,6,6,3,4,6,7,6,5,7,5,5,3,6,4,3
Q62_2,3,5,3,5,3,6,6,5,6,5,6,7,5,5,5,3,6,6,6,3,5,5,7,6,6,6,2,4,4,6,2,3
Q63_2,3,5,2,2,2,5,4,4,3,5,6,3,5,4,4,4,3,5,3,4,4,5,4,5,5,6,3,3,4,4,3,4
Q64_2,3,4,3,2,5,4,4,4,5,3,5,5,4,4,2,2,4,3,3,3,3,4,3,4,2,5,4,3,2,3,1,2
Q65_2,5,5,5,6,5,6,7,5,5,6,5,7,5,5,5,5,5,7,6,4,5,4,5,6,6,6,4,5,5,5,3,3
Q66_2,4,2,2,3,5,3,3,4,5,2,4,5,5,4,5,2,5,6,5,3,3,3,4,5,4,6,1,5,2,5,1,3
Q67_2,3,2,3,3,2,5,4,4,2,4,5,5,4,5,4,4,4,4,3,4,4,6,4,4,5,6,1,4,3,3,1,4
Q68_2,4,3,3,4,4,2,4,4,5,2,4,6,4,4,2,2,4,2,3,3,3,4,3,4,3,6,3,3,1,2,1,1
Q69_2,4,2,4,5,3,5,5,4,6,4,6,4,6,4,4,2,5,6,5,3,4,4,6,5,5,6,1,5,2,5,1,2
