,,mitubati555,kumiko0402,matosa3,toge7188,fumygo,rag_55,yutapon1967,minshle,yoimachigusa,a0508,Weetabix,ma20020607 ,from201905,とんとん囃�,Ralphy,itu1,mirin036,perimakko37,ISHICN,ranbt2943,adagietto,kamihamuroabu,109960,mikalemon,sr15,daizu810,摩天楼さ�,soshisoyamama,heidi1001,rssk,����N
Q1_3,3,3,3,4,6,5,2,2,1,5,3,2,2,4,3,3,2,2,2,5,3,3,2,5,4,2,6,2,5,2,2,2
Q2_3,4,3,3,4,5,5,3,3,3,5,4,4,3,4,4,5,4,3,6,4,3,4,4,4,4,4,2,4,4,3,3,3
Q3_3,4,3,5,4,5,5,3,3,4,6,4,4,3,4,4,4,4,4,2,5,3,4,4,5,5,4,4,4,5,4,3,3
Q4_3,6,5,2,4,5,5,5,7,6,7,5,7,6,5,6,5,6,5,5,5,7,5,5,5,7,5,6,5,5,4,4,3
Q5_3,3,4,4,4,4,6,4,4,3,6,4,5,4,4,4,3,3,3,2,5,4,4,4,5,5,2,2,4,4,4,3,4
Q6_3,3,3,3,4,4,5,3,2,3,4,4,2,2,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,5,3,3,3
Q7_3,3,5,4,3,5,5,3,3,6,5,4,3,4,3,4,4,3,4,2,4,3,4,4,4,5,4,4,5,3,3,3,2
Q8_3,3,4,3,3,5,5,4,3,2,5,4,2,4,3,3,4,4,4,3,4,3,3,4,5,4,4,5,3,5,4,3,4
Q9_3,3,3,3,3,5,5,3,3,1,4,4,2,2,3,4,4,2,4,4,5,4,3,3,4,4,4,4,2,6,3,3,2
Q10_3,3,3,3,3,6,5,4,3,5,6,4,2,4,4,5,2,4,4,5,5,5,4,4,5,5,3,3,2,5,3,3,3
Q11_3,3,3,4,4,6,5,3,3,3,5,4,1,3,4,4,4,3,4,3,5,3,2,2,4,5,5,5,4,5,4,4,2
Q12_3,3,6,3,4,6,5,5,4,6,5,4,5,5,4,5,5,4,4,3,5,4,4,5,4,5,4,7,5,6,4,3,3
Q13_3,4,4,5,4,6,5,4,4,5,5,4,3,4,5,4,5,2,3,2,5,5,4,5,5,5,5,5,5,5,5,3,2
Q14_3,3,4,5,5,6,4,4,5,6,4,4,2,2,4,6,5,4,4,5,5,5,3,4,4,5,5,4,4,5,4,3,3
Q15_3,3,3,5,3,6,5,3,3,2,5,4,3,4,3,3,4,2,4,4,4,4,4,5,5,5,5,6,3,5,3,3,4
Q16_3,3,2,3,4,5,5,3,3,2,5,4,3,3,3,4,5,3,4,3,5,3,4,4,4,5,5,2,3,5,4,3,3
Q17_3,5,3,3,2,4,5,3,3,2,3,3,2,3,3,4,3,3,2,3,4,3,3,4,4,4,4,2,2,5,3,1,2
Q18_3,4,2,2,3,6,5,4,4,3,5,4,3,4,4,4,2,2,3,3,5,3,4,3,4,4,4,4,3,5,4,2,2
Q19_3,4,3,4,4,5,6,4,4,3,5,4,1,3,4,3,4,2,4,2,5,4,4,5,4,5,4,4,4,5,4,3,3
Q20_3,3,4,1,3,4,5,4,2,3,6,4,2,3,3,3,2,3,4,2,4,3,4,3,4,4,3,1,2,4,2,3,2
Q21_3,3,3,5,4,6,5,4,3,5,3,4,3,3,4,4,3,3,4,3,5,3,4,4,4,5,5,4,2,4,3,4,3
Q22_3,3,3,5,4,4,5,3,3,3,4,4,2,2,4,3,5,3,3,2,3,3,3,3,4,4,4,4,3,4,4,3,3
Q23_3,3,2,4,3,4,6,4,3,5,5,3,3,3,4,3,4,3,4,3,4,3,3,4,5,4,3,5,3,5,4,3,3
Q24_3,7,3,6,3,5,5,3,5,3,5,4,2,3,4,4,3,4,3,2,4,5,4,3,4,5,3,3,3,4,4,3,3
Q25_3,3,3,2,3,5,5,4,3,5,5,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,6,3,3,4,4,4,3
Q26_3,4,3,4,4,5,5,5,3,4,6,4,4,3,4,5,4,5,3,4,4,4,4,5,4,4,4,2,5,4,3,3,3
Q27_3,5,3,5,4,6,5,4,3,3,5,4,6,3,4,4,5,5,4,3,4,3,4,5,4,4,6,3,5,5,5,3,3
Q28_3,3,4,5,4,7,6,4,5,3,5,4,3,3,5,4,4,5,3,4,5,5,4,5,4,4,4,5,3,5,3,2,3
Q29_3,3,3,5,4,5,5,4,4,6,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,5,4,3,3,2
Q30_3,3,3,4,3,5,5,4,4,3,3,4,2,4,4,3,3,4,4,3,3,4,4,4,5,5,3,4,5,6,4,3,2
Q31_3,3,1,5,3,5,6,4,4,4,5,4,6,4,5,4,2,3,4,4,5,6,4,4,5,5,5,4,6,4,3,1,3
Q32_3,3,2,4,4,4,5,3,5,2,4,4,2,3,5,3,2,3,2,2,4,3,4,4,4,4,5,5,5,4,5,3,1
Q33_3,3,2,3,2,5,4,4,4,3,4,4,3,3,4,4,1,4,2,2,4,4,4,3,4,4,6,4,5,2,3,1,2
Q34_3,4,2,4,4,6,5,4,5,2,4,4,1,3,4,3,2,4,3,2,5,3,4,4,4,4,4,4,5,3,4,2,1
Q35_3,3,5,6,4,5,6,3,5,3,4,4,2,3,4,3,3,2,3,3,5,5,4,4,4,5,5,3,5,4,4,2,2
Q36_3,3,5,4,4,5,5,4,4,3,5,4,6,4,4,4,3,3,3,3,4,4,4,4,4,4,3,6,4,2,3,2,1
Q37_3,3,4,5,3,6,6,5,6,6,6,4,7,5,5,3,3,4,5,3,5,6,5,5,5,4,5,6,6,3,5,1,2
Q38_3,3,2,4,4,4,5,4,4,3,4,4,2,4,5,4,2,3,3,2,5,4,3,3,4,4,5,6,5,3,2,1,2
Q39_3,3,2,3,2,5,5,3,4,3,6,4,2,4,4,4,3,3,5,1,5,4,4,3,4,4,3,5,4,4,3,2,2
Q40_3,3,6,4,4,5,6,4,6,6,6,3,4,5,5,4,4,5,4,5,5,6,3,5,5,4,5,6,4,3,5,2,2
Q41_3,3,2,2,3,5,5,4,5,4,6,4,4,3,4,4,5,4,4,4,4,5,4,5,4,5,5,6,4,4,4,1,2
Q42_3,3,3,3,3,5,5,3,3,3,4,4,2,3,3,4,4,2,3,2,4,4,4,4,4,4,4,4,2,4,4,2,2
Q43_3,3,3,6,4,6,6,4,5,4,6,4,5,3,4,4,3,4,5,3,4,5,4,4,4,5,5,4,5,5,4,3,4
Q44_3,3,4,6,4,5,6,5,4,6,5,4,4,4,5,4,3,5,4,3,5,5,4,5,4,5,5,5,4,4,4,2,3
Q45_3,4,2,6,3,6,6,3,5,4,6,4,3,4,4,5,5,4,6,5,5,6,5,3,5,5,5,5,3,5,3,4,3
Q46_3,3,2,3,3,5,5,3,4,3,5,4,2,3,4,4,3,3,4,3,4,3,4,5,4,4,5,5,4,4,5,2,2
Q47_3,2,3,4,3,5,5,4,3,5,5,4,3,2,4,4,3,3,4,3,5,6,4,5,5,5,4,5,5,4,5,2,3
Q48_3,3,5,4,3,4,5,4,4,4,5,4,3,4,4,4,3,5,4,4,5,4,4,4,3,5,4,4,5,4,4,2,3
Q49_3,3,4,4,3,6,6,4,3,5,6,4,6,3,4,5,4,4,5,5,5,4,4,6,5,5,5,4,4,5,5,3,4
Q50_3,3,2,4,3,4,5,4,4,3,5,4,1,4,4,4,4,3,4,3,4,3,4,5,4,5,3,5,5,5,2,1,3
Q51_3,3,3,5,5,6,5,5,4,5,6,4,5,3,4,6,3,5,4,4,5,4,4,4,5,5,5,5,3,6,5,3,3
Q52_3,4,3,3,4,6,5,4,3,4,5,4,4,4,4,4,5,4,3,4,4,3,4,3,4,5,3,4,3,4,6,2,3
