,coef
const,    2.6571
spectralFlux_sma3_amean,   -1.3834
F1bandwidth_sma3nz_stddevNorm,    1.0873
jitterLocal_sma3nz_amean,   -9.2110
slopeV0-500_sma3nz_amean,    0.5012
loudness_sma3_stddevFallingSlope,    0.0363
slopeV500-1500_sma3nz_stddevNorm,   -0.0003
StddevUnvoicedSegmentLength,    1.9705
F3amplitudeLogRelF0_sma3nz_stddevNorm,   -0.3335
F2bandwidth_sma3nz_stddevNorm,    1.0870
mfcc3V_sma3nz_amean,   -0.0053
HNRdBACF_sma3nz_stddevNorm,    0.2479
mfcc3_sma3_stddevNorm,    0.0007
VoicedSegmentsPerSec,    0.0473
logRelF0-H1-A3_sma3nz_amean,    0.0110
alphaRatioUV_sma3nz_amean,    0.0113
