,features,VIF Factor
0,spectralFlux_sma3_amean,2.8223713269822612
1,F1bandwidth_sma3nz_stddevNorm,1.2079658917273635
2,jitterLocal_sma3nz_amean,1.551732755334113
3,slopeV0-500_sma3nz_amean,1.8556277698140897
4,loudness_sma3_stddevFallingSlope,2.4687263872022776
5,slopeV500-1500_sma3nz_stddevNorm,1.0356850143659997
6,StddevUnvoicedSegmentLength,1.880997579767365
7,F3amplitudeLogRelF0_sma3nz_stddevNorm,2.5651025546738166
8,F2bandwidth_sma3nz_stddevNorm,1.7709921096344245
9,mfcc3V_sma3nz_amean,1.518336567514107
10,HNRdBACF_sma3nz_stddevNorm,2.0164663094382465
11,mfcc3_sma3_stddevNorm,1.081538793500722
12,VoicedSegmentsPerSec,1.412080909415143
13,logRelF0-H1-A3_sma3nz_amean,1.485444284735354
14,alphaRatioUV_sma3nz_amean,1.5945345423822797
